Company,Aviation,Engineering,Fire Domestic,Fire Industrial,Liability,Marine,Motor Private,Motor Commercial,Motor Commercial PSV,Personal Accident,Theft,Workmens' Compensation,Medical,Miscellaneous,Total,quarter
AAR INSURANCE KENYA,0.0,4919.048900000001,2218.02528,16028.40557,33955.92481999999,3504.74884,3995.734640000001,0.0,0.0,25155.47559999981,11683.57458,110830.0836700001,12538971.23416086,20832.53052999981,12772094.78659086,FY_2025_cumulative
AFRICAN MERCHANT ASSURANCE ,0.0,83212.56675999999,1054.07135,110584.02874,22966.40432,5569.86852,464420.18978,451194.6616739999,2556769.749486,23359.313,5965.03808,89986.88229,0.0,35801.91149,3850884.685489999,FY_2025_cumulative
APA INSURANCE LIMITED,459879.136,339166.927,135709.812,2293287.197,323181.801,320544.597,3077319.08,2393125.289,0.0,143785.857,282201.182,610280.733,7901106.491,561886.56,18841474.662,FY_2025_cumulative
BRITAM GENERAL INSURANCE,140103.24708,533330.75189,133389.66349,1617096.22632,533295.8238799998,485920.3709700006,1609579.722210007,710048.5835500003,0.0,206469.8106270547,594918.8816900001,568920.277482407,7102393.317801197,55369.44386000001,14290836.12085067,FY_2025_cumulative
BUPA GLOBAL INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5329053.458,0.0,5329053.458,FY_2025_cumulative
CANNON GENERAL INSURANCE,0.0,109322.859,15647.183,152024.656,30357.858,58558.106,1408656.06725,452535.75197,0.0,18215.454,17584.676,96358.957,0.0,44376.018,2403637.58622,FY_2025_cumulative
CIC GENERAL INSURANCE COMPANY,0.0,311836.74273,119099.21062,704291.1234899993,163012.93121,50673.62209999999,3694704.865799999,2919606.430040001,0.0,249940.3939599999,709051.3409300003,683597.8969599999,10175094.29159281,308636.65065,20089545.50008281,FY_2025_cumulative
CORPORATE INSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY_2025_cumulative
DEFINITE ASSURANCE COMPANY,0.0,1044.213,546.365,2162.55,1342.623,520.766,245975.81947,190979.9461514,589306.3317624998,415.159,3665.793,904.639,0.0,111859.567,1148723.7723839,FY_2025_cumulative
DIRECTLINE ASSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,318486.4146300002,97887.56678000001,2317684.519099999,0.0,0.0,0.0,0.0,0.0,2734058.500509999,FY_2025_cumulative
EQUITY GENERAL INSURANCE LIMITED,0.0,29307.96980875,1038.95,58055.90307543187,46200.206,245.297,0.0,0.0,0.0,1039.505,449205.79594,6948.733,1196907.175,100.0,1789049.534824182,FY_2025_cumulative
