Company,Aviation,Engineering,Fire Domestic,Fire Industrial,Liability,Marine,Motor Private,Motor Commercial,Motor Commercial PSV,Personal Accident,Theft,Workmens' Compensation,Medical,Miscellaneous,Total,Unnamed: 17,quarter
AAR INSURANCE KENYA,0.0,1119.5712,309.63316,6656.64333,9124.4546,48.25,0.0,0.0,0.0,3405.4688,6070.607230000001,38019.92034,3219842.450288419,6555.132079999999,3291152.131028419,0.0,Q1_2025
AFRICAN MERCHANT ASSURANCE ,0.0,17139.147,123.537,925.932,6413.55,1912.709,118667.337,170748.094,755613.814,4683.585,1420.537,54120.591,0.0,7608.669,1139377.502,0.0,Q1_2025
APA INSURANCE COMPANY,108049.902,121056.133,42109.842,1028164.678,193479.746,93040.262,885955.218,766252.117,0.0,64504.316,120712.964,257497.218,2892011.553,124290.992,6697124.941,0.0,Q1_2025
BRITAM GENERAL INSURANCE,36227.08461,389231.42625,63255.38147,618336.0879600001,237942.15793,142006.4596200001,429799.267199999,211326.37179,0.0,65403.02297746627,399326.43424,146776.62819,2047252.264416427,22067.00734,4808949.593993892,0.0,Q1_2025
CANNON GENERAL INSURANCE (K) LIMITED,0.0,42030.258,5021.126,18573.987,8711.35,14783.732,376766.58271,111908.71,0.0,11173.585,7309.964,38266.527,0.0,10524.631,645070.45271,0.0,Q1_2025
CIC GENERAL INSURANCE COMPANY,0.0,37636.27267,38529.77041,175426.7487800001,71954.88468,11892.5272,872590.4549900003,703727.4567500001,0.0,165872.64219,400193.8934799999,209133.73245,3775590.254579999,77398.93644938045,6539947.574629379,0.0,Q1_2025
CORPORATE INSURANCE COMPANY,0.0,1965.791978338281,741.9727844246044,4297.444699459311,1260.461382109814,419.7441157302074,8673.49759160853,3789.893311543591,0.0,1602.72291964994,1136.646456043121,2305.469606742649,0.0,1451.465552111226,27645.11039776127,0.0,Q1_2025
DEFINITE ASSURANCE COMPANY,0.0,56.4,0.0,239.367,0.0,0.0,11605.90946,5360.2654,32408.96631,1.246,500.544,30.803,0.0,20073.795,70277.29617,0.0,Q1_2025
DIRECTLINE ASSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,70428.59937999997,24195.1887,492642.5677900001,0.0,0.0,0.0,0.0,0.0,587266.3558700001,0.0,Q1_2025
EQUITY GENERAL INSURANCE LIMITED,0.0,20436.198,0.0,33569.195,42088.971,0.0,0.0,0.0,0.0,0.0,97072.728,0.0,1165374.381,0.0,1358541.473,0.0,Q1_2025
FIDELITY SHIELD INSURANCE  ,2366.191,28167.014,13590.243,143092.391,26181.739,34615.257,378001.518,464242.788,13029.923,3377.34,35284.327,128901.074,130142.989,81965.32,1482958.114,0.0,Q1_2025
FIRST ASSURANCE COMPANY,0.0,38877.806,15720.311,222771.363,33970.84,64915.765,221356.821,208607.297,0.0,61522.848,38124.641,44003.951,1855118.441,35101.129,2840091.213,0.0,Q1_2025
GA INSURANCE COMPANY,338883.669,381561.16,74403.431,1557943.811,102389.466,195481.762,581216.188,589567.254,56642.11,49247.999,304303.575,430795.854,1910582.006,115030.288,6688048.573,0.0,Q1_2025
GEMINIA INSURANCE COMPANY ,101320.652,47480.469,33722.335,239891.256,60909.31,262285.93,353729.22,463839.062,0.0,56800.567,103112.286,205172.451,0.0,27554.058,1955817.596,0.0,Q1_2025
ICEA LION GENERAL INSURANCE,297970.931,236570.847,51591.354,623985.257,91847.94,63256.533,724888.453,257365.42,0.0,98263.723,77218.586,265113.494,128311.687,60149.721,2976533.946,0.0,Q1_2025
INTRA-AFRICA ASSURANCE ,0.0,85157.375,22532.669,235811.878,23032.97,63366.615,259770.813,124235.279,23259.425,9024.911,41964.556,145308.224,0.0,73609.196,1107073.911,0.0,Q1_2025
JUBILEE ALLIANZ GENERAL INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
JUBILEE HEALTH INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5633556.448429999,0.0,5633556.448429999,0.0,Q1_2025
KENINDIA ASSURANCE COMPANY ,0.0,63014.043,11818.122,252102.276,19115.697,30465.0,183959.205,170589.041,0.0,2590.423,84734.015,71813.112,56048.249,3675.248,949924.431,0.0,Q1_2025
KENYA ORIENT INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
MADISON INSURANCE COMPANY,0.0,25015.255,9763.042,99577.56,99071.961,10120.111,181450.921,1057094.027,0.0,31282.448,100388.555,188898.46,1701090.39163,116626.151,3620378.88263,0.0,Q1_2025
MAYFAIR INSURANCE COMPANY,306131.114,344418.363,65651.617,990922.384,104431.333,169515.584,303331.529,304481.712,7288.595,30696.326,136048.559,445794.671,0.0,380304.166,3589015.953,0.0,Q1_2025
MUA INSURANCE COMPANY,28255.229,5357.357,2815.083,81341.318,46448.004,29297.776,86305.454,50537.569,0.0,23752.723,3311.129,40269.017,717353.214,6462.804,1121506.677,0.0,Q1_2025
NCBA INSURANCE COMPANY,0.0,34609.30634,26884.50591000001,208859.4530699999,337862.37096,18329.76745,330036.91544,46406.91099,0.0,57314.60533,64786.75492,90269.45226,0.0,0.0,1215360.04267,0.0,Q1_2025
