Company,Aviation,Engineering,Fire Domestic,Fire Industrial,Liability,Marine,Motor Private,Motor Commercial,Motor Commercial PSV,Personal Accident,Theft,Workmens' Compensation,Medical,Miscellaneous,Total,quarter
AAR INSURANCE KENYA,0.0,-3512.99916612516,141.7387629340629,1599.104824843134,3190.145670071877,-108.5243209147788,126.9106831202777,0.0,0.0,6307.484146601362,-3777.56958400974,40893.50906516847,-75975.11123851538,-847.7275476967734,-31963.03870452264,FY_2025_cumulative
AFRICAN MERCHANT ASSURANCE ,0.0,-8276.213295715612,-4956.342686735609,-64329.76760996848,2528.422478050279,-3249.03944559914,-71249.03182218656,671420.6358720334,-924136.8779356611,-20377.25798903572,-25556.1028611326,14772.16925475695,0.0,-65737.20846902425,-499146.6145102184,FY_2025_cumulative
APA INSURANCE LIMITED,-10904.25050601145,-40369.69788054076,-21823.93641547045,221816.1194602759,-113154.2913356985,-18655.08661387994,-192866.2404165479,-635220.5045408008,0.0,88022.0486714005,72593.51622177215,201430.2381730468,-38950.75137290859,120403.6859957057,-367679.1505596572,FY_2025_cumulative
BRITAM GENERAL INSURANCE,8159.832941434357,48775.17088758747,23563.24676516047,45125.51334857055,39265.47856491177,41614.45818618187,-289724.4254932725,-244510.1262775391,0.0,69917.01087703837,111313.9989371416,222972.1896625156,73691.39853269636,-104638.2776171888,45525.46931523806,FY_2025_cumulative
BUPA GLOBAL INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-378362.193,0.0,-378362.193,FY_2025_cumulative
CANNON GENERAL INSURANCE,0.0,-14190.79346529985,-6786.45760581837,-15353.99214908108,-13950.75982284711,-1186.825209791422,-416468.1465904266,-40675.84647703957,0.0,-42677.00216935686,4850.301052560019,35268.13131302559,0.0,-46105.17095685725,-557276.5620809325,FY_2025_cumulative
CIC GENERAL INSURANCE COMPANY,0.0,987.1623566633463,2564.276296668954,-118302.3307837076,-29325.2785806762,40907.69414501055,-225395.5302623055,-444405.9714541775,0.0,-11705.43847619699,197212.8851832805,436646.1680161317,-72809.83295956373,-241579.020888319,-465205.2174071915,FY_2025_cumulative
CORPORATE INSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY_2025_cumulative
DEFINITE ASSURANCE COMPANY,0.0,-4366.498162184797,-405.3432872419769,-2221.276967015527,-69.76963088042429,-327.439891652262,-54379.4570461487,7362.891035156488,-84540.96321004408,-74.52980865643302,-884.3257263226062,-175.5874551044675,0.0,-94733.46799852923,-234815.768148624,FY_2025_cumulative
DIRECTLINE ASSURANCE COMPANY,0.0,0.0,-3179.56039,7284.12375,9092.591199999999,52.78411,-119358.6634319118,-12139.16156958443,-1042400.986492683,367.92543,420.35207,7546.43022,0.0,11291.11633557899,-1141023.048768601,FY_2025_cumulative
EQUITY GENERAL INSURANCE LIMITED,0.0,-4168.27402564452,-7.367373617177509,-13535.0834194139,-2725.908215892021,6.403757314361515,0.0,0.0,0.0,-308.6300227406325,75669.43540203258,-884.4104965742623,122473.369876209,12.02154561511239,176531.5570272885,FY_2025_cumulative
EQUITY HEALTH INSURANCE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13212.28739337977,0.0,-13212.28739337977,FY_2025_cumulative
FIDELITY SHIELD INSURANCE  ,8732.463600000001,22458.918,-988.564,29829.03675,-79259.978,-20411.261,-152637.04815,11659.622,20603.283,-3494.581,-5437.741990000002,23293.95003000031,-18062.97566000003,56540.00687999999,-107174.8695399997,FY_2025_cumulative
FIRST ASSURANCE COMPANY,0.0,14857.10771959194,318.281124768272,44544.52064875365,-1098.761258495152,-20434.72303988278,-132162.9153748794,-290616.2549241593,0.0,18361.62280516051,-54778.92603370066,15265.86306676399,158398.1437006005,18503.86062443868,-228842.1809410397,FY_2025_cumulative
GA INSURANCE COMPANY,-108529.199,44724.60722,19331.83701449999,81164.36579650009,-12722.76869600001,202925.692818,95847.442,-7995.766,-274379.414,43682.235,-3967.692267658472,158770.4,-137687.122,100909.087,202073.7048853415,FY_2025_cumulative
GEMINIA INSURANCE COMPANY ,-23713.60089075599,-26510.49656034447,2280.742353746258,10349.73600387418,1290.048508055266,-21992.65971470879,-86682.3539438447,-491898.658197391,0.0,8942.340829426163,47314.81140547022,-173954.6415602441,0.0,-6860.362023283124,-761435.0937900001,FY_2025_cumulative
ICEA LION GENERAL INSURANCE,13876.32798749858,-15816.02885209381,35621.44953304766,49506.60613608211,-11874.14325865583,6167.472121815041,-207012.7369370259,-49298.70352784938,0.0,-24032.20787248915,-31168.21838741796,303272.5951633368,-60886.64297710513,36040.27363158129,44396.04276072425,FY_2025_cumulative
INTRA-AFRICA ASSURANCE ,0.0,72010.317,36029.128,115225.443,7723.411,94644.644,-120946.599,-30910.858,43582.797,9208.222,-2928.816,146257.486,0.0,72077.565,441972.74,FY_2025_cumulative
JUBILEE HEALTH INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2252426.44071,1528294.718001824,0.0,-724131.7227081759,FY_2025_cumulative
KENINDIA ASSURANCE COMPANY ,0.0,-49633.946,8751.866,-162473.767,-13328.182,64908.626,-193769.326,-33297.831,0.0,3249.272,-34982.221,42284.862,-18897.792,-9165.02,-396353.459,FY_2025_cumulative
KENYA ORIENT INSURANCE,0.0,37875.90857244856,3483.732696514578,24627.8624628057,7692.713950023903,394.311292477936,98706.71428744626,83776.47104353015,-15551.102,-3306.149179660019,16704.14675381475,35487.58262912424,0.0,-27646.69083539423,262245.5016731318,FY_2025_cumulative
MADISON INSURANCE COMPANY,0.0,28250.86713384034,8879.820154003544,110739.9236869047,22048.90910810286,1555.981028423149,-98908.21634569585,1520935.25032412,-1610324.164697857,7554.271904176557,27222.62267621258,21330.9654416488,-137400.8652615121,98632.42913072144,517.794283088997,FY_2025_cumulative
MAYFAIR INSURANCE COMPANY,21224.12070148303,47634.46922272658,55697.71531985416,-35624.89546702305,54914.27152993088,124260.3692692756,37123.51042504024,-16161.92912094244,30276.255,13330.21986339549,-6786.740156321257,68149.00570569104,0.0,136368.9492556432,530405.3215487535,FY_2025_cumulative
MUA INSURANCE COMPANY,4909.127874799942,6018.398554253829,-20705.31260305519,42311.06815555499,-2442.896509971343,6125.795849964757,-139023.2065724812,-73630.61505514116,0.0,-5599.509689989829,1757.071395591512,-23516.50267089301,-386477.903,30497.54074179146,-559776.9435295752,FY_2025_cumulative
NCBA INSURANCE COMPANY,32.30390999999992,1033.71440873498,402.7191525799036,1123.985797540367,374.3332542329132,178.9379078264425,-48804.5691491828,576.3612231346741,0.0,3549.58337653175,2317.092152739912,2774.398191196315,0.0,172.1601737330422,-36268.9796009325,FY_2025_cumulative
OCCIDENTAL INSURANCE COMPANY ,6118.537684042727,-76627.26951933459,-74461.75621277043,124413.3058638141,-5287.446642251247,8282.076914983229,5588.850280020237,67881.01927395153,0.0,-24249.97095874491,10265.94903501251,-96816.96088012714,0.0,-3925.462646762599,-58819.12780816657,FY_2025_cumulative
OLD MUTUAL GENERAL INSURANCE ,3772.372826993644,-4617.334587544196,56124.20653209531,58130.63713480627,18889.79051250757,16658.32629148144,-101160.8511110494,34349.00191881394,0.0,-126880.4829800583,-85433.81449854007,239394.1644154267,-118230.639678802,-14121.95982912708,-23126.58305299614,FY_2025_cumulative
PACIS INSURANCE COMPANY,0.0,-17877.473,3243.238,-21571.456,56536.147,3366.929,-57806.047,-3393.94,0.0,1418.156,19747.617,2206.652,5576.1,-2350.423,-10904.5,FY_2025_cumulative
PIONEER INSURANCE COMPANY,-1173.253569287904,-12608.23951735172,7805.845381975402,69387.97946298409,42934.65015188981,-2850.572826922225,35068.84376879747,-217941.6716830737,-16975.81483412163,8959.72469453879,51534.89578741811,-43051.2278786766,6222.161,16159.33363399999,-56527.34642783008,FY_2025_cumulative
SANLAM ALLIANZ GENERAL INSURANCE,836.907,-31314.613,-12381.818,-466299.65,-111054.13,-33223.776,-310751.432,-142244.633,-92043.619,-24818.44725,1362.286,164734.917,-9861.773,-47457.544,-1114517.32525,FY_2025_cumulative
STAR DISCOVER INSURANCE,4346.400810236591,-5847.495278290315,-78.63537314787094,-12365.59732861303,-39089.83305611101,14948.228509026,-113056.7991597217,-13074.67622561969,0.0,-1204.145345960113,-24779.99128148364,11837.43804198504,-15715.74804928699,-46791.18621713853,-240872.0399541252,FY_2025_cumulative
TAKAFUL INSURANCE OF AFRICA,0.0,4357.765381397763,-369.063996285812,8412.590794542606,-448.9037446380817,3411.921181355084,-163181.9952929736,-64337.02724906999,0.0,-3889.135926876367,-12386.56926885233,12076.39999686258,-16011.16683945223,12667.96965023031,-219697.21531376,FY_2025_cumulative
TAUSI ASSURANCE COMPANY,0.0,38119.58236587113,12920.4850257991,175859.1823860748,2146.132584470039,20281.76520840103,-50554.27080885264,548.1198501161784,841.425,324.3749677652535,6699.645374197334,13393.46712976167,4301.603741587786,5436.324320444984,230317.8371456366,FY_2025_cumulative
THE HERITAGE INSURANCE COMPANY,-15949.541,-9682.934,-24501.888,7556.981,-4422.863,3548.098,-86977.995,-72611.299,-22703.009,-4764.084,-14194.454,46640.445,-60263.622,10604.548,-247721.617,FY_2025_cumulative
THE KENYAN ALLIANCE INSURANCE ,0.0,1136.300647566363,863.7711030707416,65891.55169883743,5373.962693675971,2185.465425452786,-401108.3101264947,-154968.1909825122,0.0,-2932.33853700801,11182.52487970505,83344.59175090534,-78772.47001743696,2954.125224317636,-464849.0162399206,FY_2025_cumulative
THE MONARCH INSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY_2025_cumulative
TRIDENT INSURANCE COMPANY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY_2025_cumulative
TOTAL,-88261.44962956646,42819.983160212476,107378.05327257553,382821.821437942,-166254.9055461938,533986.0729536379,-3561523.895590576,-640824.2917440438,-3987752.1911703674,-17119.41864073853,351105.96827150957,-240781.75238427205,261378.59840495483,17311.47511448093,-7005715.932090444,FY_2025_cumulative
REINSURERS,,,,,,,,,,,,,,,,FY_2025_cumulative
CONTINENTAL REINSURANCE,-889.5484539681636,-84723.69536994306,-35124.8661726928,-248114.3579181995,42557.6680430801,45963.914843531,12982.7876022796,54798.67201602516,0.0,28794.73022133871,-4274.948709101783,-473.8980168467546,2870.086051834792,56669.39269259825,-128964.0631700644,FY_2025_cumulative
EAST AFRICA REINSURANCE ,1233.668671861825,-135087.6094083495,0.0,136246.2510755259,22638.5668050907,21445.3326846804,0.0,30219.91957737438,0.0,38829.60705882987,0.0,0.0,-156347.0469332125,144313.9181974181,103492.6077292192,FY_2025_cumulative
GHANA REINSURANCE COMPANY,24981.57259284508,12689.3236890776,-177722.1756574206,165597.7713425793,51611.61016724144,11174.4269299952,45448.60928237373,52242.70728237373,0.0,6463.518543002659,-2025.607071424174,-3625.287456997339,-29171.13521572763,80553.05229986268,238218.3867277816,FY_2025_cumulative
KENYA REINSURANCE CORPORATION,-184588.7153174075,-693223.9776061684,-688009.8145773781,543583.0492927296,-37464.95347013803,51090.74193117681,13054.51141156494,-32265.09920757476,0.0,-36961.64597532721,-321042.7188602475,-215194.1366610444,-214418.1949542348,239714.7144572985,-1575726.239536751,FY_2025_cumulative
WAICA REINSURANCE KENYA LIMITED,-24165.40918685827,-532618.6341474991,-15784.18522977914,744609.2318501753,636905.414996523,-22485.25828283652,60265.5071718153,-151375.8946473414,0.0,369535.687031867,17415.23046198128,-154096.7017055175,-454066.8201313054,-51886.0518097099,422252.1163715146,FY_2025_cumulative
TOTAL,-183428.43169352703,-1432964.5928428825,-916641.0416372706,1341921.9456428108,716248.3065417971,107189.15810654688,131751.41546803355,-46379.69497914289,0.0,406661.896879711,-309928.0441787922,-373390.023840406,-851133.1111826454,469365.02583746763,-940727.1918783,FY_2025_cumulative
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,FY_2025_cumulative
