Company,Aviation,Engineering,Fire Domestic,Fire Industrial,Liability,Marine,Motor Private,Motor Commercial,Motor Commercial PSV,Personal Accident,Theft,Workmens' Compensation,Medical,Miscellaneous,Total,quarter
AAR INSURANCE KENYA,0.0,-518.6361474272933,-99.29508380616811,-3557.790866527755,4338.655541140865,342.4244059582242,0.0,0.0,0.0,-1231.522086392756,803.6074311836921,8426.43880952036,-35277.9358943609,-415.3271004535055,-27189.38099116524,Q1_2025
AFRICAN MERCHANT ASSURANCE ,0.0,5003.836939887478,50.06928738874718,287.6543851821646,3186.949486009837,-1411.263411834679,-217581.8693124499,136318.9578539453,139282.6345761504,-30812.28229187182,684.6959433830452,5158.397649136025,0.0,-15088.11269256886,25079.6684123577,Q1_2025
APA INSURANCE COMPANY,-2825.834834635085,-18197.89633297038,12513.7042898151,103809.3689812255,-64412.52484710224,-7022.661550442925,-39562.79043691173,-20784.04433550583,0.0,19831.60861980595,3321.675120094273,19296.22497473665,-39032.9434300768,39122.23312497267,6056.119343005158,Q1_2025
BRITAM GENERAL INSURANCE,1860.439007672105,5927.75662819398,7001.988215353245,-27615.09913551429,8670.451220197443,8557.91050248715,-75631.40396551056,-77244.63542249404,0.0,-7455.72547156655,21328.86701760472,45891.67239179774,4538.095624027372,-232.8169876164235,-84402.50037536812,Q1_2025
CANNON GENERAL INSURANCE (K) LIMITED,0.0,2722.630539524685,-443.7248277241252,-10346.38137708766,-532.8357575529209,4955.033653779572,-88463.87382234498,-9467.582166975311,0.0,-20772.35572411391,3015.791808253923,13889.44938190602,0.0,-11762.23905689223,-117206.0873492269,Q1_2025
CIC GENERAL INSURANCE COMPANY,0.0,-13471.41176711915,4354.276528442079,14910.65632866821,-2156.317929914866,4777.265820434563,13979.7543179363,-133276.4826649396,0.0,22020.34192494913,86748.2913471352,22255.28462137482,-100089.9995736233,-37819.49653396301,-117767.8375806197,Q1_2025
CORPORATE INSURANCE COMPANY,0.0,-6375.841078672439,217.0847582857518,385.5722086151093,-943.3104888517237,406.6248770000021,3358.670605645306,7507.678935201769,0.0,-327.5074875607621,178.317541692103,1845.009536134143,0.0,-3935.237636700149,2317.061770789111,Q1_2025
DEFINITE ASSURANCE COMPANY,0.0,-54.04903999999998,0.0,-231.54637,0.0,0.0,-20001.87714,-45624.09093999999,-26499.17069,-1.00884,-420.70498,-26.03529,0.0,-33850.70669,-126709.18998,Q1_2025
DIRECTLINE ASSURANCE COMPANY,0.0,0.0,50.35922,6852.872359999999,575.02412,52.78411,331.2166306041088,-23995.83474445147,-800321.9446048236,314.65992,412.92873,6882.09367,0.0,-13207.4355227826,-822053.2761114535,Q1_2025
EQUITY GENERAL INSURANCE LIMITED,0.0,-13897.48257856479,0.0,-2564.032906097829,-3851.927874660693,0.0,0.0,0.0,0.0,0.0,7005.554654558095,0.0,15633.75595412675,0.0,2325.867249361539,Q1_2025
FIDELITY SHIELD INSURANCE  ,4661.926,9423.48,61.904,4678.234,-54.191,1627.311,-15783.61714999998,-30198.26040145001,835.894,-33.055,6612.613,17113.111,-12193.502,-8454.336119999998,-21702.48867144998,Q1_2025
FIRST ASSURANCE COMPANY,0.0,9160.797304618865,6469.576327159904,61172.22659136318,-12582.90630568569,-78.02158287643641,1850.865700872317,-13643.63896898485,0.0,27963.13992489299,-6305.669227663984,19544.16574133138,-12977.62708037759,-7794.506296538923,72778.40212811116,Q1_2025
GA INSURANCE COMPANY,-43523.506,21045.396,8452.192,201122.084,2235.958,65256.289,70815.179,-77302.507,56642.11,8089.826,27203.361,-142828.337,1148.987,33770.491,232127.523,Q1_2025
GEMINIA INSURANCE COMPANY ,-8990.725211133387,-6597.284164664927,-9124.637310096326,-29776.68471600929,-13262.10959665161,423.2035195416361,-81446.38843020734,-185381.155661757,0.0,2872.6828582798,-1293.517218952594,-183673.0167525651,0.0,-4186.061315783831,-520435.694,Q1_2025
ICEA LION GENERAL INSURANCE,-1531.11,-3883.717,6859.471,-1497.218,-7345.779,-3019.496,-73519.461,4126.689,0.0,-46667.368,1446.981,61648.925,-9437.872,5217.109,-67602.846,Q1_2025
INTRA-AFRICA ASSURANCE ,0.0,5251.95,-1935.274,4529.629,-10470.525,17311.68,-108593.495,-15422.36,21919.076,-13050.76,-5512.826,43344.386,0.0,1952.919,-60675.6,Q1_2025
JUBILEE ALLIANZ GENERAL INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
JUBILEE HEALTH INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9967.37540917635,0.0,-9967.37540917635,Q1_2025
KENINDIA ASSURANCE COMPANY ,0.0,-12154.681,2345.842,-115892.872,-9678.827,-8855.08,7070.261,118468.168,0.0,463.463,-17736.727,-61038.72,-3528.953,-1803.965,-102342.091,Q1_2025
KENYA ORIENT INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
MADISON INSURANCE COMPANY,0.0,22260.98816566071,2417.50047868736,78940.15293958457,-38770.33112973384,2871.944387040803,-56130.86715939706,248755.3547575935,0.0,3954.551202684188,16199.14465607384,70024.65982910116,-133990.4043577823,43706.00891050039,260238.7026800133,Q1_2025
